Name,RA,Dec,LensScore,VisualSelection
GRALJ201717.49+113134.66,304.32289,11.526293,1.5417098,0
GRALJ162330.99-192447.70,245.879143,-19.41325,1.541682918866476,0
GRALJ132842.67+300550.70,202.177797,30.097415,1.541517317295074,0
GRALJ215549.37-285500.75,328.955696,-28.916874,1.5414926,0
GRALJ113928.57+101108.11,174.869032,10.185586,1.5412548999999998,0
GRALJ135312.98+013254.79,208.304089,1.548553,1.541236281394958,0
GRALJ013203.03-221538.59,23.012608,-22.26072,1.5412346000000001,1
GRALJ140456.14+461204.73,211.233934,46.201314,1.5410475,0
GRALJ075839.91+170127.39,119.666293,17.024274,1.5409370064735408,0
GRALJ104824.50-292157.81,162.102082,-29.36606,1.5409094,0
GRALJ074244.84-000021.81,115.686841,-0.006058,1.5408116,0
GRALJ132322.79-044630.07,200.84495,-4.775019,1.540766606728236,0
GRALJ004800.13-260017.18,12.000553,-26.004772,1.5407525000000002,0
GRALJ132009.92-022717.51,200.041346,-2.454864,1.540542791287105,0
GRALJ125016.88-281641.76,192.570315,-28.278267,1.5404458542664852,0
GRALJ155823.91+592802.73,239.599617,59.467424,1.540423552195232,0
GRALJ000005.58-233541.93,0.023253,-23.59498,1.5404026000000002,0
GRALJ064435.92-292853.63,101.149649,-29.481564,1.5402956803639727,0
GRALJ074431.81-134850.13,116.132532,-13.813926,1.540287415186563,0
GRALJ000858.44+232848.97,2.243484,23.48027,1.540237863858541,0
GRALJ170053.27+261634.52,255.221963,26.276254,1.5402071873346972,0
GRALJ154153.00+290443.79,235.470814,29.078831,1.540202140808105,0
GRALJ130955.12+224802.46,197.479659,22.800683,1.540195405483247,0
GRALJ150934.22+373145.20,227.3926,37.529221,1.5401226000000001,0
GRALJ052418.61-065728.31,81.077521,-6.957864,1.5401016573111228,0
GRALJ170703.91+202537.35,256.766301,20.427041,1.540098448594411,0
GRALJ091849.47-171742.76,139.70614,-17.295211,1.5400619,0
GRALJ141610.42-262435.88,214.043412,-26.409966,1.5399895000000001,0
GRALJ125640.59+105742.84,194.169121,10.9619,1.5399584000000002,2
GRALJ102041.84-110553.58,155.174326,-11.098218,1.539945294459661,0
GRALJ092445.19+193119.28,141.18828,19.522023,1.5398450000000001,0
GRALJ184605.29+241633.67,281.522058,24.27602,1.539782623449961,0
GRALJ003632.56-135835.18,9.135661,-13.976438,1.539541264375051,0
GRALJ070722.54+075043.50,106.843916,7.845417,1.5395377,0
GRALJ134639.89+023451.99,206.666198,2.581109,1.5395350456237789,0
GRALJ212153.52-293829.29,320.473012,-29.64147,1.5394853999999998,0
GRALJ140819.81+464921.86,212.082544,46.822738,1.5394508,0
GRALJ214130.49-275435.66,325.377022,-27.909906,1.5393809999999999,0
GRALJ132817.23-120921.31,202.071792,-12.15592,1.5392722,0
GRALJ135457.73+080605.67,208.740553,8.101576,1.5392245000000002,1
GRALJ042539.65+281024.29,66.415188,28.173414,1.5391698380311332,0
GRALJ080010.01+165509.13,120.041709,16.919204,1.5390189290046692,0
GRALJ002646.92+333347.63,6.695487,33.56323,1.538875430822372,0
GRALJ170339.44+325956.59,255.914344,32.999053,1.5388651092847199,0
GRALJ004905.19-232433.34,12.271624,-23.409261,1.5388077999999998,0
GRALJ113608.02+123956.08,174.033435,12.665577,1.5386630000000001,0
GRALJ140014.67+264743.28,210.061131,26.795355,1.538436690966289,0
GRALJ073458.26+222322.18,113.742731,22.389494,1.538342813650767,0
GRALJ120724.95-292454.28,181.85397,-29.415077,1.5382989999999999,0
GRALJ100144.97-041902.5,150.437377,-4.317361,1.5382098000000002,0
GRALJ225827.89-293056.91,344.616217,-29.515808,1.5382047,0
GRALJ204524.72+123604.91,311.352994,12.601365,1.5381939,0
GRALJ071312.49+002545.67,108.302023,0.429353,1.5381801,0
GRALJ001757.55+240230.67,4.489803,24.041854,1.538019001483916,0
GRALJ111213.00-012243.29,168.054146,-1.378691,1.5377825999999999,0
GRALJ094605.24+812321.24,146.521821,81.389234,1.5377817,1
GRALJ190740.22+460744.29,286.917567,46.128971,1.5377731621265407,0
GRALJ145252.53-240900.37,223.218891,-24.150104,1.5377414000000003,0
GRALJ112704.29+114718.07,171.767857,11.788352,1.537586996952693,0
GRALJ132009.95-022716.32,200.041456,-2.454535,1.53756249944369,0
GRALJ135143.65+245247.63,207.931879,24.879897,1.537485400835674,0
GRALJ005447.98+352314.68,13.69992,35.38741,1.5374379,0
GRALJ122813.50-265737.20,187.056238,-26.960332,1.5374295999999998,1
GRALJ221215.02+340848.11,333.062567,34.146698,1.537420461575189,0
GRALJ125846.92+250058.43,194.695486,25.01623,1.5374158999999998,0
GRALJ094038.53-180211.97,145.160521,-18.036658,1.537375370661417,0
GRALJ122035.26-292303.66,185.146913,-29.38435,1.537340323130291,0
GRALJ134027.76-234852.99,205.115674,-23.814718,1.5373375000000002,0
GRALJ163401.08-211048.34,248.504504,-21.180094,1.5372746000000002,0
GRALJ143925.39-152924.60,219.85578,-15.490166,1.5371523999999999,0
GRALJ091848.29-215043.42,139.701194,-21.845394,1.537122289339702,0
GRALJ132536.18+340304.91,201.400743,34.051363,1.5370395,0
GRALJ122734.16-082630.23,186.892329,-8.44173,1.536852161089578,0
GRALJ000912.27-100935.19,2.301128,-10.159774,1.5368445416291552,0
GRALJ101620.13-294742.81,154.083874,-29.795225,1.5367891,0
GRALJ011745.06-171240.60,19.437731,-17.211277,1.536686360836029,0
GRALJ125418.27+132451.33,193.576136,13.414258,1.536500364542008,0
GRALJ140313.41+080532.09,210.805896,8.092248,1.5363152,1
